"","full_name","height_cm","weight_kgs","body_type","potential","skill","wage_euro"
"1","Kalidou Koulibaly",187.96,88.9,"Normal",91,"2",135000
"2","Manuel Neuer",193.04,92.1,"Normal",89,"1",130000
"3","Sergio Busquets i Burgos",187.96,76.2,"Lean",89,"3",315000
"4","Thibaut Courtois",198.12,96.2,"Courtois",90,"1",240000
"5","Marc-André ter Stegen",187.96,84.8,"Normal",92,"1",240000
"6","Milan Škriniar",187.96,79.8,"Normal",93,"2",89000
"7","Fernando Luiz Rosa",152.4,67.1,"Lean",87,"3",2e+05
"8","Gonzalo Gerardo Higuaín",185.42,88.9,"Normal",87,"3",205000
"9","Ivan Rakitic",182.88,78,"Lean",87,"3",260000
"10","Marcelo Vieira da Silva Júnior",175.26,79.8,"Normal",87,"5",240000
"11","Keylor Navas",185.42,79.8,"Normal",87,"1",195000
"12","James David Rodríguez Rubio",154.94,74.8,"Normal",88,"4",260000
"13","Carlos Henrique Venancio Casimiro",185.42,83.9,"Normal",89,"2",240000
"14","Kepa Arrizabalaga",185.42,84.8,"Lean",90,"1",92000
"15","Hakim Ziyech",154.94,64.9,"Lean",86,"4",31000
"16","Fábio Henrique Tavares",187.96,78,"Lean",88,"3",120000
"17","Anthony Martial",182.88,76.2,"Normal",90,"4",165000
"18","Bruno Miguel Borges Fernandes",152.4,68.9,"Lean",88,"4",22000
"19","Alex Nicolao Telles",154.94,71.2,"Lean",86,"3",22000
"20","Nabil Fekir",172.72,74.8,"Stocky",88,"4",84000
"21","Davinson Sánchez",187.96,78.9,"Lean",88,"2",105000
"22","Andrés Iniesta Luján",170.18,68,"Normal",85,"4",19000
"23","Zlatan Ibrahimovic",195.58,94.8,"Normal",85,"5",15000
"24","Edin Višca",172.72,63,"Lean",83,"4",44000
"25","Mateo Kovacic",175.26,78,"Normal",89,"4",165000
"26","Felipe Augusto de Almeida Monteiro",190.5,86.2,"Normal",84,"2",22000
"27","Yannick Ferreira Carrasco",154.94,73,"Lean",86,"4",20000
"28","Lucas Vázquez Iglesias",172.72,69.9,"Normal",83,"4",205000
"29","Adrien Rabiot",193.04,79.8,"Lean",87,"3",91000
"30","Alessio Romagnoli",187.96,78,"Normal",90,"2",92000
"31","Anderson Souza Conceição",190.5,79.8,"Normal",87,"4",27000
"32","Kingsley Coman",152.4,71.2,"Lean",88,"5",85000
"33","Thomas Lemar",170.18,62.1,"Lean",89,"4",64000
"34","Jonathan Tah",195.58,97.1,"Stocky",87,"2",61000
"35","Matteo Politano",170.18,67.1,"Normal",85,"4",61000
"36","Clément Lenglet",185.42,81.2,"Lean",88,"2",135000
"37","Pau López Sabata",187.96,77.1,"Lean",87,"1",21000
"38","Malcom Filipe Silva de Oliveira",172.72,73.9,"Normal",89,"4",140000
"39","Lucas Torreira Di Pascua",167.64,64,"Normal",87,"3",98000
"40","Giovani Lo Celso",175.26,69.9,"Lean",88,"4",83000
"41","Fabián Ruiz Peña",187.96,69.9,"Lean",90,"4",70000
"42","Raphael William Anjos Rochedo",190.5,84.8,"Normal",82,"1",32000
"43","Juan Everton Mestres de Mesquita",154.94,82.1,"Normal",82,"2",39000
"44","Rosberto J. Dourado Santos",175.26,69.9,"Lean",82,"2",46000
"45","Arthur Henrique Ramos Oliveira Melo",170.18,73,"Normal",90,"4",125000
"46","Rodrigo Hernández Cascante",190.5,82.1,"Lean",87,"4",59000
"47","Marco Parolo",182.88,74.8,"Lean",82,"3",59000
"48","Max Kruse",154.94,76.2,"Normal",82,"4",45000
"49","Jordan Brian Henderson",182.88,79.8,"Normal",82,"3",125000
"50","Osvaldo Nicolás Fabián Gaitán",172.72,66.2,"Lean",82,"4",22000
"51","Marko Arnautovic",193.04,83,"Normal",82,"4",120000
"52","Sebastian Giovinco",162.56,60.8,"Normal",82,"4",61000
"53","Giuliano Victor de Paula",172.72,68,"Stocky",82,"4",59000
"54","Péter Gulácsi",193.04,86.2,"Normal",83,"1",53000
"55","Luiz Gustavo Dias",187.96,78,"Lean",82,"3",57000
"56","Mario  Barwuah Balotelli",187.96,88,"Normal",82,"4",68000
"57","Marlos Romero Bonfim",175.26,68.9,"Normal",82,"5",1000
"58","Taison Barcellos Freda",172.72,64,"Lean",82,"4",1000
"59","Giacomo Bonaventura",154.94,74.8,"Lean",82,"4",115000
"60","Geoffrey Kondogbia",187.96,79.8,"Lean",84,"4",43000
"61","Jérôme Roussillon",175.26,79.8,"Stocky",83,"3",50000
"62","Simone Zaza",185.42,83.9,"Normal",82,"4",48000
"63","Šime Vrsaljko",154.94,76.2,"Lean",81,"3",57000
"64","Christoph Kramer",190.5,76.2,"Lean",82,"3",35000
"65","Benjamin Mendy",185.42,84.8,"Normal",86,"3",105000
"66","Marcel Sabitzer",152.4,77.1,"Normal",84,"3",54000
"67","Matija Nastasic",187.96,83,"Normal",84,"2",36000
"68","Alassane Plea",154.94,78.9,"Stocky",83,"4",40000
"69","Matthias Ginter",187.96,83,"Normal",83,"2",30000
"70","Gerard Moreno Balagueró",154.94,77.1,"Lean",83,"4",45000
"71","Abdoulaye Doucouré",182.88,76.2,"Lean",85,"3",60000
"72","Raphaël Guerreiro",170.18,71.2,"Normal",84,"4",54000
"73","Ricardo Barbosa Pereira",175.26,69.9,"Lean",84,"3",64000
"74","Samuel Castillejo Azuaga",182.88,67.1,"Lean",85,"4",86000
"75","Nicolas Pépé",182.88,73,"Lean",88,"4",35000
"76","André Onana",187.96,93,"Stocky",85,"1",14000
"77","Fabián Balbuena",187.96,84.8,"Normal",83,"2",80000
"78","André Miguel Valente da Silva",185.42,78.9,"Normal",87,"4",89000
"79","Mikel Oyarzabal Ugarte",154.94,78,"Lean",87,"3",29000
"80","Welington Kauê Dano Nascimento",152.4,68.9,"Lean",80,"4",34000
"81","Richarlison de Andrade",154.94,71.2,"Normal",86,"4",84000
"82","Álvaro Odriozola Arzalluz",175.26,66.2,"Lean",88,"3",115000
"83","Carlos Soler Barragán",154.94,76.2,"Lean",87,"4",31000
"84","Houssem Aouar",175.26,69.9,"Lean",90,"4",51000
"85","Maximiliano Gómez",185.42,83.9,"Normal",85,"4",25000
"86","Joaquín Sánchez Rodríguez",152.4,74.8,"Normal",81,"4",24000
"87","Jérémy Mathieu",187.96,83.9,"Normal",81,"2",18000
"88","Joël Andre Job Matip",193.04,89.8,"Lean",82,"2",99000
"89","Serge Aurier",175.26,76.2,"Normal",83,"3",82000
"90","Josuha Guilavogui",187.96,77.1,"Lean",81,"2",49000
"91","Alex Oxlade-Chamberlain",175.26,69.9,"Stocky",85,"4",94000
"92","Mathew Ryan",182.88,82.1,"Normal",83,"1",43000
"93","Vincent Paté Aboubakar",182.88,82.1,"Normal",81,"5",19000
"94","Luis Fernando Muriel Fruto",152.4,78.9,"Stocky",81,"4",24000
"95","Domagoj Vida",182.88,76.2,"Lean",80,"2",55000
"96","Ibai Gómez Pérez",152.4,72.1,"Normal",80,"3",31000
"97","Cristian Tello Herrera",152.4,64.9,"Lean",80,"4",30000
"98","Ismaily Gonçalves dos S.",152.4,82.1,"Stocky",80,"4",1000
"99","Aïssa Mandi",182.88,78,"Lean",83,"2",27000
"100","Anton Ciprian Tataru<U+0219>anu",195.58,86.2,"Lean",80,"1",25000
"101","Jeison Fabián Murillo Cerón",182.88,78,"Normal",84,"2",38000
"102","Jack Butland",195.58,94.8,"Normal",85,"1",39000
"103","Stefano Sorrentino",185.42,84.8,"Normal",80,"1",10000
"104","Wayne Mark Rooney",175.26,83,"Stocky",80,"3",13000
"105","Miguel Ángel Moyá Rumbo",187.96,83,"Normal",80,"1",26000
"106","Lisandro López",175.26,72.1,"Normal",80,"4",23000
"107","Javier Alejandro Mascherano",175.26,73,"Normal",80,"2",20000
"108","Raffael Caetano de Araújo",175.26,68.9,"Lean",80,"4",39000
"109","Diego López Rodríguez",195.58,88.9,"Lean",80,"1",17000
"110","Juan Francisco Torres Belén",154.94,71.2,"Lean",80,"3",53000
"111","Igor Denisov",175.26,69.9,"Normal",80,"3",1000
"112","Igor Akinfeev",185.42,78,"Normal",80,"1",1000
"113","André-Pierre Gignac",187.96,91.2,"Stocky",80,"3",70000
"114","Andreas Granqvist",193.04,83.9,"Normal",80,"2",NA
"115","Manuel Henrique Tavares Fernandes",175.26,74.8,"Normal",80,"4",1000
"116","Dante Bonfim da Costa Santos",187.96,84.8,"Normal",80,"2",37000
"117","Loïc Perrin",154.94,79.8,"Normal",80,"2",37000
"118","Borja Valero Iglesias",175.26,73,"Normal",80,"4",69000
"119","Adnan Januzaj",185.42,76.2,"Lean",85,"4",32000
"120","Jonas Hector",185.42,74.8,"Normal",79,"3",26000
"121","Moanes Dabour",182.88,76.2,"Normal",81,"4",47000
"122","Óliver Torres Muñoz",175.26,63,"Normal",84,"3",15000
"123","Yassine Bounou",193.04,78,"Lean",82,"1",26000
"124","Jonas Hofmann",175.26,69.9,"Lean",80,"3",32000
"125","Otávio Edmilson da Silva Monteiro",172.72,71.2,"Normal",85,"4",15000
"126","Jonathan Castro Otto",170.18,69.9,"Normal",83,"4",59000
"127","Leander Dendoncker",187.96,88,"Normal",85,"2",20000
"128","Roman Zobnin",182.88,74.8,"Lean",86,"4",1000
"129","Ricardo Jorge da Luz Horta",172.72,63,"Lean",84,"3",16000
"130","Thiago Henrique Mendes Ribeiro",152.4,79.8,"Normal",83,"4",35000
"131","Jefferson Andrés Lerma Solís",152.4,69.9,"Lean",83,"3",55000
"132","Jean-Philippe Gbamin",185.42,83,"Normal",84,"3",26000
"133","Iván Marcone",182.88,83,"Normal",80,"3",27000
"134","Darío Benedetto",152.4,79.8,"Normal",79,"3",32000
"135","Marwin Hitz",193.04,88.9,"Normal",79,"1",41000
"136","Nathaniel Edwin Clyne",175.26,67.1,"Normal",80,"3",94000
"137","Adem Ljajic",182.88,73.9,"Lean",80,"4",49000
"138","Johann  Berg Guðmunds­son",152.4,77.1,"Normal",79,"4",61000
"139","Elkeson de Oliveira Cardoso",154.94,77.1,"Stocky",79,"4",25000
"140","Enrique García Martínez",185.42,78.9,"Normal",79,"3",32000
"141","Sergio Escudero Palomo",175.26,72.1,"Lean",79,"3",20000
